Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SSC (UR) by GCCSA (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"
"GCCSA (UR)","Greater Sydney"


"SSC (UR)",
"Long Plain (Snowy Monaro Regional - NSW)",0,
"Long Point (Campbelltown - NSW)",211,
"Long Point (Singleton - NSW)",0,
"Longarm",0,
"Longreach (NSW)",0,
"Longueville",2062,
"Loomberah",0,
"Lord Howe Island",0,
"Lords Hill",0,
"Lorn",0,
"Lorne (NSW)",0,
"Lost River",0,
"Lostock",0,
"Louisa Creek",0,
"Louth",0,
"Louth Park",0,
"Lovedale",0,
"Lovett Bay",147,
"Lowanna",0,
"Lower Acacia Creek",0,
"Lower Bago",0,
"Lower Belford",0,
"Lower Boro",0,
"Lower Bottle Creek",0,
"Lower Creek",0,
"Lower Duck Creek",0,
"Lower Dyraaba",0,
"Lower Lewis Ponds",0,
"Lower Macdonald",262,
"Lower Mangrove",66,
"Lower Pappinbarra",0,
"Lower Peacock",0,
"Lower Portland",591,
"Lower Southgate",0,
"Lowesdale",0,
"Lowther",0,
"Loxford",0,
"Lucas Heights",0,
"Lucknow (NSW)",0,
"Luddenham",1827,
"Lue",0,
"Lugarno",5604,
"Lurnea",9315,
"Luskintyre",0,
"Lynchs Creek",0,
"Lyndhurst (Armidale Regional - NSW)",0,
"Lyndhurst (Blayney - NSW)",0,
"Lynwood (NSW)",0,
"Mabins Well",0,
"Macdonalds Creek",0,
"Macksville",0,
"Maclean",0,
"Macmasters Beach",1292,
"Macquarie Fields",13712,
"Macquarie Hills",0,
"Macquarie Links",1357,
"Macquarie Marshes",0,
"Macquarie Park",8142,
"Macquarie Pass",0,
"Maddens Plains",0,
"Maffra (NSW)",0,
"Magenta (NSW)",208,
"Magometon",0,
"Maianbar",507,
"Maimuru",0,
"Main Arm",0,
"Main Creek",0,
"Mairjimmy",0,
"Maison Dieu",0,
"Maitland (NSW)",0,
"Maitland Bar",0,
"Maitland Vale",0,
"Majors Creek (NSW)",0,
"Malabar",5423,
"Maldon (NSW)",19,
"Mallabula",0,
"Mallan",0,
"Mallanganee",0,
"Mallee",0,
"Mallowa",0,
"Maloneys Beach",0,
"Malua Bay",0,
"Manar",0,
"Manchester Square",0,
"Mandagery",0,
"Mandalong",0,
"Mandemar",0,
"Mandurama",0,
"Mangerton",0,
"Mangoola",0,
"Mangoplah",0,
"Mangrove Creek",36,
"Mangrove Mountain",714,
"Manildra",0,
"Manilla",0,
"Manly (NSW)",15863,
"Manly Vale",6167,
"Mannering Park",2472,
"Manning Point",0,
"Mannus",0,
"Manobalai",0,
"Manton (NSW)",0,
"Manyana",0,
"Maragle",0,
"Maraylya",1242,
"Marayong",7706,
"March",0,
"Marchmont",0,
"Mardi",3681,
"Marengo (NSW)",0,
"Mares Run",0,
"Marinna",0,
"Marks Point",0,
"Markwell",0,
"Marlee",0,
"Marlo Merrican",0,
"Marlow",21,
"Marlowe",0,
"Marmong Point",0,
"Marom Creek",0,
"Maroota",619,
"Maroubra",30686,
"Marrangaroo",0,
"Marrar",0,
"Marrickville",26590,
"Marsden Park",1003,
"Marsfield",13295,
"Marshall Mount",0,
"Marshdale",0,
"Marthaguy",0,
"Martindale",0,
"Martins Creek",0,
"Martinsville",0,
"Marulan",0,
"Maryland (Newcastle - NSW)",0,
"Maryland (Tenterfield - NSW)",0,
"Marys Mount",0,
"Maryvale (NSW)",0,
"Maryville",0,
"Mascot",14771,
"Matcham",987,
"Matheson",0,
"Mathoura",0,
"Matong",0,
"Matraville",9804,
"Maude (NSW)",0,
"Maules Creek",0,
"Maxwell",0,
"Maybole",0,
"Mayers Flat",0,
"Mayfield (Newcastle - NSW)",0,
"Mayfield (Oberon - NSW)",0,
"Mayfield (Queanbeyan-Palerang Regional - NSW)",0,
"Mayfield (Shoalhaven - NSW)",0,
"Mayfield East",0,
"Mayfield North",0,
"Mayfield West",0,
"Mayrung",0,
"Mays Hill",767,
"Mayvale",0,
"McCullys Gap",0,
"McDougalls Hill",0,
"McGraths Hill",2555,
"McKees Hill",0,
"McKellars Park",0,
"McLeans Ridges",0,
"McLeods Shoot",0,
"McMahons Point",2280,
"McMahons Reef",0,
"Meadow Flat",0,
"Meadowbank (NSW)",4408,
"Mebbin",0,
"Mebul",0,
"Medlow Bath",616,
"Medowie",0,
"Medway",0,
"Meerschaum Vale",0,
"Megalong Valley",104,
"Megan",0,
"Melbergen",0,
"Melinga",0,
"Mellong",4,
"Mellool",0,
"Melrose Park (NSW)",1572,
"Melville (NSW)",0,
"Memagong",0,
"Menah",0,
"Menai",10306,
"Menangle",1146,
"Menangle Park",254,
"Mendooran",0,
"Menindee",0,
"Merah North",0,
"Merewether",0,
"Merewether Heights",0,
"Merimbula",0,
"Meringo",0,
"Mernot",0,
"Meroo",0,
"Meroo Meadow",0,
"Merotherie",0,
"Merriangaah",0,
"Merricumbene",0,
"Merrigal",0,
"Merrill",0,
"Merriwa (NSW)",0,
"Merriwagga",0,
"Merrygoen",0,
"Merrylands",29650,
"Merrylands West",6588,
"Merungle Hill",0,
"Meryla",0,
"Metford",0,
"Methul",0,
"Metz",0,
"Miamley",0,
"Miandetta (NSW)",0,
"Micalo Island",0,
"Michelago",0,
"Middle Arm",0,
"Middle Brook",0,
"Middle Brother",0,
"Middle Cove",1339,
"Middle Dural",1014,
"Middle Falbrook",0,
"Middle Flat",0,
"Middle Pocket",0,
"Middleton Grange",5177,
"Middlingbank",0,
"Midginbil",0,
"Mihi",0,
"Mila",0,
"Milbrodale",0,
"Milbrulong",0,
"Milkers Flat",0,
"Millah Murrah",0,
"Millbank (NSW)",0,
"Miller",3240,
"Millers Forest",0,
"Millers Point",1485,
"Millfield",0,
"Millie",0,
"Millingandi",0,
"Millthorpe",0,
"Milparinka",0,
"Milperra",3952,
"Milroy (Gunnedah - NSW)",0,
"Milroy (Mid-Western Regional - NSW)",0,
"Milsons Passage",13,
"Milsons Point",2161,
"Milton (NSW)",0,
"Milvale",0,
"Mimosa (NSW)",0,
"Minchinbury",5623,
"Mindaribba",0,
"Mingoola (NSW)",0,
"Minimbah",0,
"Minjary",0,
"Minmi",0,
"Minnamurra",0,
"Minnie Water",0,
"Minore",0,
"Minto",12547,
"Minto Heights",380,
"Mirador",0,
"Miranda (NSW)",15284,
"Mirannie",0,
"Mirrabooka (NSW)",0,
"Mirrool",0,
"Missabotti",0,
"Mitchell (NSW)",0,
"Mitchells Flat",0,
"Mitchells Island",0,
"Mittagong",0,
"Moama",0,
"Modanville",0,
"Mogareeka",0,
"Mogendoura",0,
"Moggs Swamp",0,
"Mogilla",0,
"Mogo (Eurobodalla - NSW)",0,
"Mogo (Mid-Western Regional - NSW)",0,
"Mogo Creek",0,
"Mogood",0,
"Mograni",0,
"Mogriguy",0,
"Mole River",0,
"Moleville Creek",0,
"Mollyan",0,
"Mollymook",0,
"Mollymook Beach",0,
"Molong",0,
"Mona Vale",10674,
"Monak",0,
"Monaltrie",0,
"Mondayong",0,
"Mondrook",0,
"Monga",0,
"Mongarlowe",0,
"Mongogarie",0,
"Monia Gap",0,
"Monivae",0,
"Monkerai",0,
"Monteagle",0,
"Montecollum",0,
"Montefiores",0,
"Monterey",4526,
"Mooball",0,
"Moobi",0,
"Moogem",0,
"Mookerawa",0,
"Mookima Wybra",0,
"Moolarben",0,
"Moollattoo",0,
"Moolpa",0,
"Moombooldool",0,
"Moonan Brook",0,
"Moonan Flat",0,
"Moonbah",0,
"Moonbi",0,
"Moonbria",0,
"Mooneba",0,
"Moonee",0,
"Moonee Beach",0,
"Mooney Mooney",308,
"Mooney Mooney Creek",28,
"Moonpar",0,
"Mooral Creek",0,
"Moorara",0,
"Moorbel",0,
"Moore Creek",0,
"Moore Park",28,
"Moorebank",9750,
"Moorilda",0,
"Moorland (NSW)",0,
"Moorong",0,
"Moorwatha",0,
"Moparrabah",0,
"Moppy",0,
"Morago",0,
"Morangarell",0,
"Morans Crossing",0,
"Moree",0,
"Morisset",0,
"Morisset Park",0,
"Morning Bay",34,
"Mororo",0,
"Morpeth",0,
"Mortdale",10422,
"Mortlake (NSW)",1062,
"Morton",0,
"Mortons Creek",0,
"Morts Estate",0,
"Morundah",0,
"Moruya",0,
"Moruya Heads",0,
"Morven (Glen Innes Severn - NSW)",0,
"Morven (Greater Hume Shire - NSW)",0,
"Mosman",28476,
"Moss Vale",0,
"Mossgiel",0,
"Mossy Point",0,
"Moto",0,
"Moulamein",0,
"Mount Adrah",0,
"Mount Annan",11704,
"Mount Aquila",0,
"Mount Arthur",0,
"Mount Austin",0,
"Mount Burrell",0,
"Mount Colah",7096,
"Mount Collins",0,
"Mount Cooper (NSW)",0,
"Mount Darragh",0,
"Mount David",0,
"Mount Dee",0,
"Mount Druitt",16731,
"Mount Elliot (NSW)",167,
"Mount Fairy",0,
"Mount Foster",0,
"Mount Frome",0,
"Mount George (NSW)",0,
"Mount Harris",0,
"Mount Hope (NSW)",0,
"Mount Horeb",0,
"Mount Hunter",733,
"Mount Hutton (NSW)",0,
"Mount Irvine",30,
"Mount Keira",0,
"Mount Kembla",0,
"Mount Kingiman",0,
"Mount Knowles",0,
"Mount Kuring-Gai",1704,
"Mount Lambie",0,
"Mount Lewis",1193,
"Mount Lindsey",0,
"Mount Marsden",0,
"Mount Marsh",0,
"Mount Mitchell",0,
"Mount Murray",0,
"Mount Olive (Oberon - NSW)",0,
"Mount Olive (Singleton - NSW)",0,
"Mount Ousley",0,
"Mount Panorama",0,
"Mount Pleasant (NSW)",0,
"Mount Pritchard",9951,
"Mount Rankin",0,
"Mount Rivers",0,
"Mount Riverview",3031,
"Mount Royal",0,
"Mount Russell",0,
"Mount Saint Thomas",0,
"Mount Seaview",0,
"Mount Tenandra",0,
"Mount Thorley",0,
"Mount Tomah",74,
"Mount Vernon",1185,
"Mount Victoria",1017,
"Mount View",0,
"Mount Vincent",0,
"Mount Warning",0,
"Mount Warrigal",0,
"Mount Werong",0,
"Mount White",180,
"Mount Wilson",102,
"Mountain Creek (NSW)",0,
"Mountain Lagoon",85,
"Mountain Top",0,
"Mountain View (NSW)",0,
"Mourquong",0,
"Mowbray Park",93,
"Mozart",0,
"Mudgee",0,
"Mulbring",0,
"Mulgoa",1898,
"Mulgrave (NSW)",90,
"Mulguthrie",0,
"Muli Muli",0,
"Mulla",0,
"Mulla Creek",0,
"Mullaley",0,
"Mullamuddy",0,
"Mullaway",0,
"Mullengandra",0,
"Mullengudgery",0,
"Mullion",0,
"Mullion Creek",0,
"Mulloon",0,
"Mullumbimby",0,
"Mullumbimby Creek",0,
"Mulwala",0,
"Mulyandry",0,
"Mumbil",0,
"Mumblebone Plain",0,
"Mumbulla Mountain",0,
"Mummel",0,
"Mummulgum",0,
"Mundamia",0,
"Mundarlo",0,
"Munderoo",0,
"Mundongo",0,
"Mungay Creek",0,
"Munghorn",0,
"Mungindi (NSW)",0,
"Mungo",0,
"Mungo Brush",0,
"Munni",0,
"Munyabla",0,
"Murga",0,
"Murrah",0,
"Murrami",0,
"Murrawombie",0,
"Murray Downs",0,
"Murray Gorge",0,
"Murrays Beach",0,
"Murrays Run",0,
"Murrengenburg",0,
"Murrin Bridge",0,
"Murringo",0,
"Murrulebale",0,
"Murrumbateman",0,
"Murrumbo",0,
"Murrumbucca",0,
"Murrumburrah",0,
"Murrurundi",0,
"Murulla",0,
"Murwillumbah",0,
"Muscle Creek",0,
"Muswellbrook",0,
"Mutawintji",0,
"Muttama",0,
"Myall Creek",0,
"Myall Lake",0,
"Myall Park (NSW)",0,
"Myalla (NSW)",0,
"Mylestom",0,
"Mylneford",0,
"Myocum",0,
"Myola (NSW)",0,
"Myrtle Creek (NSW)",0,
"Myrtle Mountain",0,
"Myrtle Park",0,
"Myrtleville",0,
"Mystery Bay",0,
"Myuna Bay",0,
"Nabiac",0,
"Nadgee",0,
"Nambucca Heads",0,
"Namoi River",0,
"Nana Glen",0,
"Nangus",0,
"Nanima",0,
"Napier Lane",0,
"Napoleon Reef",0,
"Naradhan",0,
"Narara",7933,
"Narellan",3614,
"Narellan Vale",7196,
"Naremburn",5887,
"Narone Creek",0,
"Narooma",0,
"Narrabarba",0,
"Narrabeen",8212,
"Narrabri",0,
"Narraburra",0,
"Narran Lake",0,
"Narrandera",0,
"Narrangullen",0,
"Narrawa",0,
"Narrawallee",0,
"Narraweena",6608,
"Narromine",0,
"Narwee",5617,
"Nashdale",0,
"Nashua",0,
"Nattai",64,
"Naughtons Gap",0,
"Neath",0,
"Nebea",0,
"Neilrex",0,
"Nelligen",0,
"Nelson (Bega Valley - NSW)",0,
"Nelson (The Hills Shire - NSW)",448,
"Nelson Bay (NSW)",0,
"Nelsons Plains",0,
"Nelungaloo",0,
"Nemingha",0,
"Nericon",0,
"Neringla",0,
"Nerong",0,
"Nerriga",0,
"Nerrigundah",0,
"Nethercote",0,
"Neurea",0,
"Neutral Bay",10483,
"Never Never",0,
"Nevertire",0,
"Neville",0,
"New Berrima",0,
"New Brighton",0,
"New Buildings",0,
"New Italy",0,
"New Lambton",0,
"New Lambton Heights",0,
"New Mexico",0,
"New Park",0,
"New Valley",0,
"Newbold",0,
"Newbridge (NSW)",0,
"Newcastle",0,
"Newcastle East",0,
"Newcastle West",0,
"Newee Creek",0,
"Newington (NSW)",5800,
"Newnes",0,
"Newnes Plateau",0,
"Newport (NSW)",9303,
"Newrybar",0,
"Newstead (NSW)",0,
"Newton Boyd",0,
"Newtown (NSW)",15025,
"Niagara Park",2744,
"Niangala",0,
"Niemur",0,
"Nightcap",0,
"Nimbin",0,
"Nimmitabel",0,
"Nimmo",0,
"Nobbys Creek",0,
"Nombi",0,
"Noona",0,
"Noorong",0,
"Nooroo",0,
"Norah Head",1131,
"Noraville",2919,
"Nords Wharf",0,
"Normanhurst",5290,
"North Albury",0,
"North Arm (NSW)",0,
"North Arm Cove",0,
"North Avoca",2195,
"North Balgowlah",3664,
"North Batemans Bay",0,
"North Boambee Valley",0,
"North Bondi",9167,
"North Bourke",0,
"North Brother",0,
"North Casino",0,
"North Curl Curl",4113,
"North Dorrigo",0,
"North Epping",4526,
"North Gosford",3698,
"North Haven (NSW)",0,
"North Lambton",0,
"North Lismore",0,
"North Macksville",0,
"North Macquarie",0,
"North Manly",3089,
"North Narooma",0,
"North Narrabeen",5854,
"North Nowra",0,
"North Parramatta",13246,
"North Richmond",4979,
"North Rocks",7964,
"North Rothbury",0,
"North Ryde",10857,
"North Shore (NSW)",0,
"North St Marys",3922,
"North Star",0,
"North Strathfield",4767,
"North Sydney",7705,
"North Tamworth",0,
"North Tumbulgum",0,
"North Turramurra",4257,
"North Wagga Wagga",0,
"North Wahroonga",1996,
"North Willoughby",4172,
"North Wollongong",0,
"North Woodburn",0,
"North Yalgogrin",0,
"North Yeoval",0,
"Northangera",0,
"Northbridge (NSW)",6348,
"Northmead",11218,
"Northwood (NSW)",981,
"Norway",0,
"Nowendoc",0,
"Nowley",0,
"Nowra",0,
"Nowra Hill",0,
"Nubba",0,
"Nulkaba",0,
"Nullamanna",0,
"Nullica",0,
"Nullo Mountain",0,
"Numbaa",0,
"Number One",0,
"Numbla Vale",0,
"Numbugga",0,
"Numeralla",0,
"Numinbah",0,
"Numulgi",0,
"Nunderi",0,
"Nundle",0,
"Nungatta",0,
"Nungatta South",0,
"Nurenmerenmong",0,
"Nymagee",0,
"Nymboida",0,
"Nyngan",0,
"Nyora (NSW)",0,
"Nyrang Creek",0,
"O'Connell (NSW)",0,
"Oak Flats",0,
"Oakdale (NSW)",1842,
"Oakey Park",0,
"Oakhampton",0,
"Oakhampton Heights",0,
"Oakhurst (NSW)",6958,
"Oaklands",0,
"Oakville",1966,
"Oakwood (NSW)",0,
"Oallen",0,
"Oatlands (NSW)",5659,
"Oatley",10486,
"Oban",0,
"Obanvale",0,
"Oberne Creek",0,
"Oberon",0,
"Obley",0,
"Ocean Shores",0,
"Ogunbil",0,
"Old Adaminaby",0,
"Old Bar",0,
"Old Bonalbo",0,
"Old Erowal Bay",0,
"Old Grevillia",0,
"Old Guildford",2663,
"Old Junee",0,
"Old Mill",0,
"Old Station",0,
"Old Toongabbie",3128,
"Olinda (NSW)",0,
"Olney",0,
"Omadale",0,
"One Mile (NSW)",0,
"One Tree",0,
"Oolong",0,
"Ooma",0,
"Ootha",0,
"Ophir",0,
"Oran Park",4766,
"Orange",0,
"Orange Grove (NSW)",0,
"Orangeville",1249,
"Orchard Hills",1879,
"Orient Point",0,
"Orton Park",0,
"Osborne (NSW)",0,
"Osterley (NSW)",0,
"Oswald",0,
"Otford",0,
"Oura",0,
"Ourimbah",3949,
"Ournie",0,
"Owens Gap",0,
"Oxford Falls",135,
"Oxley (Balranald - NSW)",0,
"Oxley (Warren - NSW)",0,
"Oxley Island",0,
"Oxley Park",3110,
"Oxley Vale",0,
"Oyster Bay",5488,
"Oyster Cove (NSW)",0,
"Packsaddle",0,
"Paddington (NSW)",12909,
"Paddys Flat (Kyogle - NSW)",0,
"Paddys Flat (Snowy Monaro Regional - NSW)",0,
"Paddys River (Snowy Valleys - NSW)",0,
"Paddys River (Wingecarribee - NSW)",0,
"Padstow",13307,
"Padstow Heights",3539,
"Pagans Flat",0,
"Pages Creek",0,
"Pages River",0,
"Pagewood",3802,
"Palarang",0,
"Palerang",0,
"Paling Yards (Bathurst Regional - NSW)",0,
"Paling Yards (Oberon - NSW)",0,
"Pallal",0,
"Pallamallawa",0,
"Palm Beach (NSW)",1589,
"Palm Grove (NSW)",110,
"Palmdale (NSW)",98,
"Palmers Channel",0,
"Palmers Island",0,
"Palmers Oaky",0,
"Palmvale",0,
"Palmwoods (NSW)",0,
"Pambula",0,
"Pambula Beach",0,
"Pampoolah",0,
"Pan Ban",0,
"Panania",12419,
"Pangee",0,
"Panuara",0,
"Pappinbarra",0,
"Para",0,
"Paradise (NSW)",0,
"Paringi",0,
"Parkes (NSW)",0,
"Parkesbourne",0,
"Parklea",3471,
"Parkville (NSW)",0,
"Parma",0,
"Parramatta",25799,
"Parraweena",0,
"Patchs Beach",0,
"Paterson (NSW)",0,
"Patonga",204,
"Paupong",0,
"Paxton",0,
"Paynes Crossing",0,
"Paytens Bridge",0,
"Peacock Creek",0,
"Peak Hill (NSW)",0,
"Peak View",0,
"Peakhurst",10540,
"Peakhurst Heights",2333,
"Pearces Creek",0,
"Pearl Beach",538,
"Peats Ridge",375,
"Pebbly Beach",0,
"Peel",0,
"Peelwood",0,
"Pejar",0,
"Pelaw Main",0,
"Pelican (NSW)",0,
"Pelton",0,
"Pembrooke",0,
"Pemulwuy",5015,
"Pendle Hill",7247,
"Pennant Hills",7286,
"Penrith",13295,
"Penrose",0,
"Penshurst (NSW)",12790,
"Pericoe",0,
"Perrys Crossing",0,
"Perthville",0,
"Petersham",8115,
"Pheasants Nest",691,
"Phegans Bay",435,
"Phillip Bay",708,
"Phoenix Park",0,
"Piallamore",0,
"Piallaway",0,
"Piambong",0,
"Picketts Valley",217,
"Picnic Point",6161,
"Picton (NSW)",4815,
"Pigeonbah",0,
"Piggabeen",0,
"Pikapene",0,
"Pillar Valley",0,
"Pilliga",0,
"Pilot Wilderness",0,
"Pimlico (NSW)",0,
"Pimlico Island",0,
"Pinbeyan",0,
"Pindaroi",0,
"Pindimar",0,
"Pine Camp",0,
"Pine Clump",0,
"Pine Grove (NSW)",0,
"Pine Lodge (NSW)",0,
"Pine Ridge",0,
"Pine Valley",0,
"Piney Range",0,
"Pinkett",0,
"Pinnacle (NSW)",0,
"Pinnacle Swamp",0,
"Pinny Beach",0,
"Piora",0,
"Pipeclay",0,
"Pitnacree",0,
"Pitt Town",3033,
"Pitt Town Bottoms",107,
"Pleasant Hills",0,
"Pleasure Point",527,
"Plumpton (NSW)",9202,
"Point Clare",3731,
"Point Frederick",1927,
"Point Piper",1418,
"Point Wolstoncroft",0,
"Pointer Mountain",0,
"Pokolbin",0,
"Pola Creek",0,
"Polo Flat",0,
"Pomeroy",0,
"Pomona (NSW)",0,
"Ponto",0,
"Pooncarie",0,
"Port Botany",0,
"Port Hacking",1091,
"Port Kembla",0,
"Port Macquarie",0,
"Port Stephens",0,
"Porters Creek",0,
"Porters Retreat",0,
"Portland (NSW)",0,
"Possum Brush",0,
"Possum Creek",0,
"Potato Point",0,
"Pottery Estate",0,
"Potts Hill",890,
"Potts Point",9425,
"Pottsville",0,
"Prairiewood",3242,
"Premer",0,
"Prestons",15312,
"Pretty Beach (Central Coast - NSW)",352,
"Pretty Beach (Shoalhaven - NSW)",0,
"Pretty Pine",0,
"Primbee",0,
"Primrose Valley",0,
"Prospect (NSW)",4714,
"Pucawan",0,
"Puddledock",0,
"Pulganbar",0,
"Pullabooka",0,
"Pulletop",0,
"Pumpenbil",0,
"Punchbowl (Canterbury-Bankstown - NSW)",20240,
"Punchbowl (Clarence Valley - NSW)",0,
"Purfleet",0,
"Purlewaugh",0,
"Putney",4104,
"Putta Bucca",0,
"Putty",5,
"Pyangle",0,
"Pymble",11056,
"Pyramul",0,
"Pyree",0,
"Pyrmont",12813,
"Quaama",0,
"Quakers Hill",27075,
"Quambone",0,
"Quanda",0,
"Quandary",0,
"Quandialla",0,
"Queanbeyan",0,
"Queanbeyan East",0,
"Queanbeyan West",0,
"Queens Park (NSW)",3066,
"Queens Pinch",0,
"Queenscliff (NSW)",3377,
"Quialigo",0,
"Quidong",0,
"Quiera",0,
"Quipolly",0,
"Quirindi",0,
"Quorrobolong",0,
"Raby",5945,
"Raglan (NSW)",0,
"Rainbow Flat",0,
"Rainbow Reach",0,
"Raleigh",0,
"Ramornie",0,
"Ramsgate",1114,
"Ramsgate Beach",1658,
"Rand",0,
"Randwick",29990,
"Rangari",0,
"Rangers Valley",0,
"Rankin Park",0,
"Rankins Springs",0,
"Rannock",0,
"Rappville",0,
"Rathmines",0,
"Ravensdale",68,
"Ravenswood (NSW)",0,
"Ravensworth (NSW)",0,
"Rawdon Island",0,
"Rawdon Vale",0,
"Raworth",0,
"Rawsonville",0,
"Raymond Terrace",0,
"Razorback",1084,
"Red Head",0,
"Red Hill (Snowy Valleys - NSW)",0,
"Red Hill (Tamworth Regional - NSW)",0,
"Red Hill (Warren - NSW)",0,
"Red Range",0,
"Red Rock",0,
"Red Rocks",0,
"Redbank (NSW)",0,
"Redbournberry",0,
"Reddestone",0,
"Redfern",13213,
"Redhead",0,
"Redlands",0,
"Reedy Creek (NSW)",0,
"Reedy Swamp",0,
"Reefton (NSW)",0,
"Regents Park (NSW)",4926,
"Regentville",809,
"Reids Flat",0,
"Reidsdale",0,
"Rennie",0,
"Renwick",0,
"Repentance Creek",0,
"Repton",0,
"Reserve Creek",0,
"Retreat (NSW)",0,
"Revesby",14180,
"Revesby Heights",1671,
"Rhine Falls",0,
"Rhodes",11908,
"Richlands (NSW)",0,
"Richmond (NSW)",5481,
"Richmond Hill (NSW)",0,
"Richmond Lowlands",45,
"Richmond Vale",0,
"Rileys Hill",0,
"Ringwood (NSW)",0,
"Riverlea",0,
"Riverside (NSW)",0,
"Riverstone",7243,
"Rivertree",0,
"Riverview (NSW)",3354,
"Riverwood",12098,
"Rixs Creek",0,
"Rob Roy",0,
"Robertson (NSW)",0,
"Robin Hill",0,
"Rock Flat",0,
"Rock Forest",0,
"Rock Valley",0,
"Rockdale",15535,
"Rockley",0,
"Rockley Mount",0,
"Rockton",0,
"Rocky Creek (Gwydir - NSW)",0,
"Rocky Creek (Inverell - NSW)",0,
"Rocky Glen",0,
"Rocky Hall",0,
"Rocky Plain (NSW)",0,
"Rocky Point (NSW)",263,
"Rocky River (Tenterfield - NSW)",0,
"Rocky River (Uralla - NSW)",0,
"Rodd Point",1381,
"Rollands Plains",0,
"Rookhurst",0,
"Rookwood (NSW)",0,
"Rooty Hill",14704,
"Ropers Road",0,
"Ropes Crossing",6172,
"Rose Bay (NSW)",10051,
"Rose Valley (Kiama - NSW)",0,
"Rose Valley (Snowy Monaro Regional - NSW)",0,
"Rosebank",0,
"Roseberg",0,
"Roseberry",0,
"Roseberry Creek",0,
"Rosebery (NSW)",10116,
"Rosebrook (NSW)",0,
"Rosedale (NSW)",0,
"Rosehill (NSW)",3807,
"Roselands",11573,
"Rosemeadow",7860,
"Rosemeath",0,
"Roseville",10085,
"Roseville Chase",1615,
"Rosewood (Port Macquarie-Hastings - NSW)",0,
"Rosewood (Snowy Valleys - NSW)",0,
"Roslyn",0,
"Rossglen",0,
"Rossgole",0,
"Rossi",0,
"Rossmore (NSW)",2283,
"Roto",0,
"Rouchel",0,
"Rouchel Brook",0,
"Roughit",0,
"Round Mountain",0,
"Round Swamp",0,
"Rous",0,
"Rous Mill",0,
"Rouse Hill",7967,
"Rowan",0,
"Rowena",0,
"Rowlands Creek",0,
"Royal National Park",24,
"Royalla",0,
"Rozelle",8726,
"Ruby Creek",0,
"Rufus",0,
"Rugby",0,
"Rukenvale",0,
"Run-o-Waters",0,
"Running Stream",0,
"Runnyford",0,
"Ruse",5583,
"Rushcutters Bay",2547,
"Rushes Creek",0,
"Rushforth",0,
"Russell Lea",5000,
"Russell Vale",0,
"Rutherford",0,
"Ruthven",0,
"Ryan (NSW)",0,
"Rydal",0,
"Rydalmere",6640,
"Ryde",26501,
"Rye Park",0,
"Ryhope",0,
"Rylstone",0,
"Sackville",302,
"Sackville North",314,
"Saddleback Mountain",0,
"Sadleir",3135,
"Safety Beach (NSW)",0,
"Salamander Bay",0,
"Salisbury (NSW)",0,
"Salisbury Plains",0,
"Sallys Flat",0,
"Salt Ash",0,
"Saltwater",0,
"San Isidore",0,
"San Remo (NSW)",4355,
"Sancrox",0,
"Sanctuary Point",0,
"Sandbar",0,
"Sandgate (NSW)",0,
"Sandigo",0,
"Sandilands (NSW)",0,
"Sandon (NSW)",0,
"Sandringham (NSW)",1236,
"Sandy Beach",0,
"Sandy Creek (Cobar - NSW)",0,
"Sandy Creek (Upper Hunter Shire - NSW)",0,
"Sandy Crossing",0,
"Sandy Flat",0,
"Sandy Gully (NSW)",0,
"Sandy Hill",0,
"Sandy Hollow",0,
"Sandy Point (NSW)",588,
"Sanger",0,
"Sans Souci",10305,
"Sapphire",0,
"Sapphire Beach",0,
"Saratoga",3944,
"Sassafras (NSW)",0,
"Saumarez",0,
"Saumarez Ponds",0,
"Savernake",0,
"Sawpit Creek",0,
"Sawtell",0,
"Sawyers Gully",0,
"Scarborough (NSW)",0,
"Scheyville",13,
"Schofields",4979,
"Scone",0,
"Scotia",0,
"Scotland Island",579,
"Scotts Creek (NSW)",0,
"Scotts Flat",0,
"Scotts Head",0,
"Seaforth (NSW)",7137,
"Seaham",0,
"Seahampton",0,
"Seal Rocks",0,
"Sebastopol (NSW)",0,
"Sedgefield",0,
"Seelands",0,
"Sefton",5807,
"Segenhoe",0,
"Seven Hills (NSW)",19326,
"Seven Oaks",0,
"Sextonville",0,
"Shadforth (NSW)",0,
"Shallow Bay",0,
"Shalvey",3464,
"Shanes Park",407,
"Shannon Brook",0,
"Shannon Vale",0,
"Shannondale",0,
"Shannons Flat",0,
"Shark Creek",0,
"Sharps Creek",0,
"Sheedys Gully",0,
"Shell Cove",0,
"Shellharbour",0,
"Shellharbour City Centre",0,
"Shelly Beach (NSW)",1312,
"Sherwood (Clarence Valley - NSW)",0,
"Sherwood (Kempsey - NSW)",0,
"Sherwood (Kyogle - NSW)",0,
"Shoal Bay (NSW)",0,
"Shoalhaven Heads",0,
"Shooters Hill",0,
"Shortland",0,
"Silent Grove",0,
"Silverdale (NSW)",3680,
"Silverton (NSW)",0,
"Silverwater (Lake Macquarie - NSW)",0,
"Silverwater (Parramatta - NSW)",4166,
"Simpkins Creek",0,
"Singleton (NSW)",0,
"Singleton Heights",0,
"Singleton Military Area",0,
"Singletons Mill",6,
